query,src_folder,src_dialect,tgt_dialect,level,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error
extract_date_parts,postgresql,postgres,tsql,intermediate,40,medium,True,True,True,0.663,
extract_date_parts,postgresql,postgres,oracle,intermediate,40,medium,True,True,True,0.633,
extract_date_parts,postgresql,postgres,snowflake,intermediate,40,medium,True,True,True,0.784,
conditional_aggregation,postgresql,postgres,postgres,intermediate,45,medium,True,True,True,1.229,
conditional_aggregation,postgresql,postgres,mysql,intermediate,45,medium,True,True,True,1.518,
conditional_aggregation,postgresql,postgres,tsql,intermediate,45,medium,True,True,True,1.55,
conditional_aggregation,postgresql,postgres,oracle,intermediate,45,medium,True,True,True,0.946,
conditional_aggregation,postgresql,postgres,snowflake,intermediate,45,medium,True,True,True,1.157,
row_number_pagination,postgresql,postgres,postgres,intermediate,50,medium,True,True,True,1.333,
row_number_pagination,postgresql,postgres,mysql,intermediate,50,medium,True,True,False,1.342,
row_number_pagination,postgresql,postgres,tsql,intermediate,50,medium,True,True,False,1.237,
row_number_pagination,postgresql,postgres,oracle,intermediate,50,medium,True,True,True,0.89,
row_number_pagination,postgresql,postgres,snowflake,intermediate,50,medium,True,True,True,1.244,
regexp_matching,postgresql,postgres,postgres,intermediate,35,medium,True,True,True,0.646,
regexp_matching,postgresql,postgres,mysql,intermediate,35,medium,True,True,True,0.44,
regexp_matching,postgresql,postgres,tsql,intermediate,35,medium,True,True,True,0.449,
regexp_matching,postgresql,postgres,oracle,intermediate,35,medium,True,True,True,0.442,
regexp_matching,postgresql,postgres,snowflake,intermediate,35,medium,True,True,True,0.629,
recursive_cte,postgresql,postgres,postgres,advanced,75,hard,True,True,True,3.452,
recursive_cte,postgresql,postgres,mysql,advanced,75,hard,True,True,False,1.867,
recursive_cte,postgresql,postgres,tsql,advanced,75,hard,True,True,False,2.203,
recursive_cte,postgresql,postgres,oracle,advanced,75,hard,True,True,True,2.575,
recursive_cte,postgresql,postgres,snowflake,advanced,75,hard,True,True,True,2.104,
multiple_ctes,postgresql,postgres,postgres,advanced,80,hard,True,True,True,4.279,
multiple_ctes,postgresql,postgres,mysql,advanced,80,hard,True,True,False,3.284,
multiple_ctes,postgresql,postgres,tsql,advanced,80,hard,True,True,True,3.01,
multiple_ctes,postgresql,postgres,oracle,advanced,80,hard,True,True,True,15.292,
multiple_ctes,postgresql,postgres,snowflake,advanced,80,hard,True,True,True,2.581,
window_moving_average,postgresql,postgres,postgres,advanced,70,hard,True,True,True,2.118,
window_moving_average,postgresql,postgres,mysql,advanced,70,hard,True,True,True,1.406,
window_moving_average,postgresql,postgres,tsql,advanced,70,hard,True,True,True,1.678,
window_moving_average,postgresql,postgres,oracle,advanced,70,hard,True,True,True,1.163,
window_moving_average,postgresql,postgres,snowflake,advanced,70,hard,True,True,True,1.194,
lateral_join,postgresql,postgres,postgres,advanced,65,hard,True,True,True,3.023,
lateral_join,postgresql,postgres,mysql,advanced,65,hard,True,True,False,1.675,
lateral_join,postgresql,postgres,tsql,advanced,65,hard,True,True,False,1.946,
lateral_join,postgresql,postgres,oracle,advanced,65,hard,True,True,False,1.944,
lateral_join,postgresql,postgres,snowflake,advanced,65,hard,True,True,True,1.904,
pivot_crosstab,postgresql,postgres,postgres,advanced,80,hard,True,True,True,1.221,
pivot_crosstab,postgresql,postgres,mysql,advanced,80,hard,True,True,True,0.634,
pivot_crosstab,postgresql,postgres,tsql,advanced,80,hard,True,True,True,0.634,
pivot_crosstab,postgresql,postgres,oracle,advanced,80,hard,True,True,True,0.613,
pivot_crosstab,postgresql,postgres,snowflake,advanced,80,hard,True,True,False,1.459,
percentile_calculation,postgresql,postgres,postgres,advanced,60,hard,True,True,True,2.276,
percentile_calculation,postgresql,postgres,mysql,advanced,60,hard,True,True,False,1.527,
percentile_calculation,postgresql,postgres,tsql,advanced,60,hard,True,True,False,2.419,
percentile_calculation,postgresql,postgres,oracle,advanced,60,hard,True,True,True,2.517,
percentile_calculation,postgresql,postgres,snowflake,advanced,60,hard,True,True,True,2.184,
generate_series_dates,postgresql,postgres,postgres,advanced,70,hard,True,True,True,2.833,
generate_series_dates,postgresql,postgres,mysql,advanced,70,hard,True,True,False,2.111,
generate_series_dates,postgresql,postgres,tsql,advanced,70,hard,True,True,False,1.629,
generate_series_dates,postgresql,postgres,oracle,advanced,70,hard,True,True,False,1.411,
generate_series_dates,postgresql,postgres,snowflake,advanced,70,hard,True,True,False,2.077,
full_text_search,postgresql,postgres,postgres,advanced,65,hard,True,True,True,1.913,
full_text_search,postgresql,postgres,mysql,advanced,65,hard,True,True,False,0.955,
full_text_search,postgresql,postgres,tsql,advanced,65,hard,True,True,False,0.838,
full_text_search,postgresql,postgres,oracle,advanced,65,hard,True,True,False,0.82,
full_text_search,postgresql,postgres,snowflake,advanced,65,hard,True,True,False,1.274,
complex_nested_query,postgresql,postgres,postgres,advanced,75,hard,True,True,True,3.637,
complex_nested_query,postgresql,postgres,mysql,advanced,75,hard,True,True,False,2.092,
complex_nested_query,postgresql,postgres,tsql,advanced,75,hard,True,True,False,2.878,
complex_nested_query,postgresql,postgres,oracle,advanced,75,hard,True,True,True,2.341,
complex_nested_query,postgresql,postgres,snowflake,advanced,75,hard,True,True,True,2.807,
upsert_on_conflict,postgresql,postgres,postgres,advanced,60,hard,True,True,True,2.372,
upsert_on_conflict,postgresql,postgres,mysql,advanced,60,hard,True,True,True,1.054,
upsert_on_conflict,postgresql,postgres,tsql,advanced,60,hard,True,True,True,1.016,
upsert_on_conflict,postgresql,postgres,oracle,advanced,60,hard,True,True,True,0.971,
upsert_on_conflict,postgresql,postgres,snowflake,advanced,60,hard,True,True,True,0.993,
array_agg,postgresql,postgres,postgres,dialect_specific,40,hard,True,True,True,1.144,
array_agg,postgresql,postgres,mysql,dialect_specific,40,hard,True,True,False,0.872,
array_agg,postgresql,postgres,tsql,dialect_specific,40,hard,True,True,False,0.745,
array_agg,postgresql,postgres,oracle,dialect_specific,40,hard,True,True,True,0.563,
array_agg,postgresql,postgres,snowflake,dialect_specific,40,hard,True,True,False,0.73,
jsonb_aggregation,postgresql,postgres,postgres,dialect_specific,60,hard,True,True,True,0.878,
jsonb_aggregation,postgresql,postgres,mysql,dialect_specific,60,hard,True,True,True,0.534,
jsonb_aggregation,postgresql,postgres,tsql,dialect_specific,60,hard,True,True,True,0.581,
jsonb_aggregation,postgresql,postgres,oracle,dialect_specific,60,hard,True,True,True,0.537,
jsonb_aggregation,postgresql,postgres,snowflake,dialect_specific,60,hard,True,True,True,0.711,
gin_index_usage,postgresql,postgres,postgres,dialect_specific,30,hard,True,True,True,0.608,
gin_index_usage,postgresql,postgres,mysql,dialect_specific,30,hard,True,True,False,0.589,
gin_index_usage,postgresql,postgres,tsql,dialect_specific,30,hard,True,True,False,0.537,
gin_index_usage,postgresql,postgres,oracle,dialect_specific,30,hard,True,True,True,0.304,
gin_index_usage,postgresql,postgres,snowflake,dialect_specific,30,hard,True,True,True,0.305,
listen_notify,postgresql,postgres,postgres,dialect_specific,20,hard,False,False,False,0.09,parse:ParseError
listen_notify,postgresql,postgres,mysql,dialect_specific,20,hard,False,False,False,0.049,parse:ParseError
listen_notify,postgresql,postgres,tsql,dialect_specific,20,hard,False,False,False,0.048,parse:ParseError
listen_notify,postgresql,postgres,oracle,dialect_specific,20,hard,False,False,False,0.048,parse:ParseError
listen_notify,postgresql,postgres,snowflake,dialect_specific,20,hard,False,False,False,0.041,parse:ParseError
uuid_generation,postgresql,postgres,postgres,dialect_specific,25,hard,True,True,True,0.776,
uuid_generation,postgresql,postgres,mysql,dialect_specific,25,hard,True,True,True,0.473,
uuid_generation,postgresql,postgres,tsql,dialect_specific,25,hard,True,True,True,0.46,
uuid_generation,postgresql,postgres,oracle,dialect_specific,25,hard,True,True,True,0.465,
uuid_generation,postgresql,postgres,snowflake,dialect_specific,25,hard,True,True,True,0.465,
simple_select,mysql,mysql,postgres,basic,10,easy,True,True,True,0.351,
simple_select,mysql,mysql,mysql,basic,10,easy,True,True,True,0.475,
simple_select,mysql,mysql,tsql,basic,10,easy,True,True,True,0.319,
simple_select,mysql,mysql,oracle,basic,10,easy,True,True,True,0.281,
simple_select,mysql,mysql,snowflake,basic,10,easy,True,True,True,0.502,
auto_increment_table,mysql,mysql,postgres,basic,35,easy,True,True,False,1.962,
auto_increment_table,mysql,mysql,mysql,basic,35,easy,True,True,True,1.808,
