dataset,score_quantile,threshold,flagged,review_workload_pct,precision,recall,f1,fpr
D3,0.5,0.0031569440773902353,15000,50.0,0.1,1.0,0.18181818181818182,0.47368421052631576
D3,0.5204166666666666,0.0031944582408287973,14388,47.96,0.1042535446205171,1.0,0.18882175226586104,0.45221052631578945
D3,0.5408333333333333,0.0032325190143656,13775,45.916666666666664,0.1088929219600726,1.0,0.19639934533551553,0.4307017543859649
D3,0.56125,0.0032749306986248044,13163,43.876666666666665,0.11395578515535972,1.0,0.20459660369637864,0.4092280701754386
D3,0.5816666666666667,0.0033206913550948808,12550,41.833333333333336,0.11952191235059761,1.0,0.21352313167259787,0.387719298245614
D3,0.6020833333333333,0.003368509822660027,11938,39.79333333333334,0.1256491874685877,1.0,0.2232475070695044,0.3662456140350877
D3,0.6225,0.0034207922456937095,11325,37.75,0.13245033112582782,1.0,0.23391812865497075,0.3447368421052632
D3,0.6429166666666667,0.003473868166642906,10713,35.71,0.14001680201624195,1.0,0.24563989191844757,0.32326315789473686
D3,0.6633333333333333,0.0035334119706304113,10100,33.666666666666664,0.1485148514851485,1.0,0.25862068965517243,0.3017543859649123
D3,0.68375,0.0035968673190479475,9488,31.626666666666665,0.15809443507588533,1.0,0.2730251183108846,0.28028070175438596
D3,0.7041666666666666,0.003663744185866236,8875,29.583333333333332,0.16901408450704225,1.0,0.2891566265060241,0.25877192982456143
D3,0.7245833333333334,0.0037453707916252333,8263,27.543333333333333,0.18153213118722014,1.0,0.3072825975622247,0.2372982456140351
D3,0.745,0.003840861216301221,7650,25.5,0.19607843137254902,1.0,0.32786885245901637,0.21578947368421053
D3,0.7654166666666666,0.003942362264948764,7038,23.46,0.21312872975277067,1.0,0.35137034434293746,0.19431578947368422
D3,0.7858333333333334,0.004081437392032774,6425,21.416666666666668,0.23346303501945526,1.0,0.3785488958990536,0.17280701754385966
D3,0.80625,0.004240015896966585,5813,19.376666666666665,0.2580423189403062,1.0,0.41022836045398603,0.15133333333333332
D3,0.8266666666666667,0.004421733795119053,5200,17.333333333333332,0.28846153846153844,1.0,0.44776119402985076,0.12982456140350876
D3,0.8470833333333333,0.004665861207184191,4588,15.293333333333333,0.3269398430688753,1.0,0.492772667542707,0.10835087719298246
D3,0.8674999999999999,0.005005840972716757,3975,13.25,0.37735849056603776,1.0,0.547945205479452,0.0868421052631579
D3,0.8879166666666667,0.0056703558301601465,3363,11.21,0.44603033006244425,1.0,0.6169031462060457,0.06536842105263158
D3,0.9083333333333333,0.8492728751005113,2750,9.166666666666666,0.5363636363636364,0.9833333333333333,0.6941176470588235,0.04473684210526316
D3,0.92875,0.8810654041306466,2138,7.126666666666667,0.5898035547240411,0.8406666666666667,0.6932380428807037,0.030771929824561405
D3,0.9491666666666667,0.9581838907420107,1525,5.083333333333333,0.6839344262295082,0.6953333333333334,0.6895867768595041,0.016912280701754386
D3,0.9695833333333334,0.9650708792292853,913,3.0433333333333334,0.8127053669222344,0.49466666666666664,0.6150020721094074,0.006
D3,0.99,0.991213899574754,300,1.0,1.0,0.2,0.3333333333333333,0.0
