query,src_folder,src_dialect,tgt_dialect,level,difficulty,committed_transpile_ok,committed_footprint_equiv,recomputed_footprint_equiv,relaxed_equiv,exec_equiv,note
regexp_matching,postgresql,postgres,mysql,intermediate,medium,True,True,True,True,True,
regexp_matching,postgresql,postgres,tsql,intermediate,medium,True,True,True,True,True,
regexp_matching,postgresql,postgres,oracle,intermediate,medium,True,True,True,True,True,
regexp_matching,postgresql,postgres,snowflake,intermediate,medium,True,True,True,True,True,
recursive_cte,postgresql,postgres,postgres,advanced,hard,True,True,True,True,True,
recursive_cte,postgresql,postgres,mysql,advanced,hard,True,False,False,False,True,
recursive_cte,postgresql,postgres,tsql,advanced,hard,True,False,False,False,True,
recursive_cte,postgresql,postgres,oracle,advanced,hard,True,True,True,True,True,
recursive_cte,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,True,
multiple_ctes,postgresql,postgres,postgres,advanced,hard,True,True,True,True,True,
multiple_ctes,postgresql,postgres,mysql,advanced,hard,True,False,False,False,True,
multiple_ctes,postgresql,postgres,tsql,advanced,hard,True,True,True,True,True,
multiple_ctes,postgresql,postgres,oracle,advanced,hard,True,True,True,True,True,
multiple_ctes,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,True,
window_moving_average,postgresql,postgres,postgres,advanced,hard,True,True,True,True,,
window_moving_average,postgresql,postgres,mysql,advanced,hard,True,True,True,True,,
window_moving_average,postgresql,postgres,tsql,advanced,hard,True,True,True,True,,
window_moving_average,postgresql,postgres,oracle,advanced,hard,True,True,True,True,,
window_moving_average,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,,
lateral_join,postgresql,postgres,postgres,advanced,hard,True,True,True,True,True,
lateral_join,postgresql,postgres,mysql,advanced,hard,True,False,False,False,True,
lateral_join,postgresql,postgres,tsql,advanced,hard,True,False,False,False,True,
lateral_join,postgresql,postgres,oracle,advanced,hard,True,False,False,False,True,
lateral_join,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,True,
pivot_crosstab,postgresql,postgres,postgres,advanced,hard,True,True,True,True,,
pivot_crosstab,postgresql,postgres,mysql,advanced,hard,True,True,True,True,,
pivot_crosstab,postgresql,postgres,tsql,advanced,hard,True,True,True,True,,
pivot_crosstab,postgresql,postgres,oracle,advanced,hard,True,True,True,True,,
pivot_crosstab,postgresql,postgres,snowflake,advanced,hard,True,False,False,False,,
percentile_calculation,postgresql,postgres,postgres,advanced,hard,True,True,True,True,True,
percentile_calculation,postgresql,postgres,mysql,advanced,hard,True,False,False,False,True,
percentile_calculation,postgresql,postgres,tsql,advanced,hard,True,False,False,False,True,
percentile_calculation,postgresql,postgres,oracle,advanced,hard,True,True,True,True,True,
percentile_calculation,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,True,
generate_series_dates,postgresql,postgres,postgres,advanced,hard,True,True,True,True,True,
generate_series_dates,postgresql,postgres,mysql,advanced,hard,True,False,False,False,True,
generate_series_dates,postgresql,postgres,tsql,advanced,hard,True,False,False,False,True,
generate_series_dates,postgresql,postgres,oracle,advanced,hard,True,False,False,False,True,
generate_series_dates,postgresql,postgres,snowflake,advanced,hard,True,False,False,False,True,
full_text_search,postgresql,postgres,postgres,advanced,hard,True,True,True,True,,
full_text_search,postgresql,postgres,mysql,advanced,hard,True,False,,False,,
full_text_search,postgresql,postgres,tsql,advanced,hard,True,False,,False,,
full_text_search,postgresql,postgres,oracle,advanced,hard,True,False,,False,,
full_text_search,postgresql,postgres,snowflake,advanced,hard,True,False,,False,,
complex_nested_query,postgresql,postgres,postgres,advanced,hard,True,True,True,True,True,
complex_nested_query,postgresql,postgres,mysql,advanced,hard,True,False,False,False,True,
complex_nested_query,postgresql,postgres,tsql,advanced,hard,True,False,False,False,True,
complex_nested_query,postgresql,postgres,oracle,advanced,hard,True,True,True,True,True,
complex_nested_query,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,True,
upsert_on_conflict,postgresql,postgres,postgres,advanced,hard,True,True,True,True,,
upsert_on_conflict,postgresql,postgres,mysql,advanced,hard,True,True,True,True,,
upsert_on_conflict,postgresql,postgres,tsql,advanced,hard,True,True,True,True,,
upsert_on_conflict,postgresql,postgres,oracle,advanced,hard,True,True,True,True,,
upsert_on_conflict,postgresql,postgres,snowflake,advanced,hard,True,True,True,True,,
array_agg,postgresql,postgres,postgres,dialect_specific,hard,True,True,True,True,,
array_agg,postgresql,postgres,mysql,dialect_specific,hard,True,False,False,False,,
array_agg,postgresql,postgres,tsql,dialect_specific,hard,True,False,False,False,,
array_agg,postgresql,postgres,oracle,dialect_specific,hard,True,True,True,True,,
array_agg,postgresql,postgres,snowflake,dialect_specific,hard,True,False,False,False,,
jsonb_aggregation,postgresql,postgres,postgres,dialect_specific,hard,True,True,True,True,,
jsonb_aggregation,postgresql,postgres,mysql,dialect_specific,hard,True,True,True,True,,
jsonb_aggregation,postgresql,postgres,tsql,dialect_specific,hard,True,True,True,True,,
jsonb_aggregation,postgresql,postgres,oracle,dialect_specific,hard,True,True,True,True,,
jsonb_aggregation,postgresql,postgres,snowflake,dialect_specific,hard,True,True,True,True,,
gin_index_usage,postgresql,postgres,postgres,dialect_specific,hard,True,True,True,True,,
gin_index_usage,postgresql,postgres,mysql,dialect_specific,hard,True,False,False,False,,
gin_index_usage,postgresql,postgres,tsql,dialect_specific,hard,True,False,False,False,,
gin_index_usage,postgresql,postgres,oracle,dialect_specific,hard,True,True,True,True,,
gin_index_usage,postgresql,postgres,snowflake,dialect_specific,hard,True,True,True,True,,
listen_notify,postgresql,postgres,postgres,dialect_specific,hard,False,False,,,,transpile_failed
listen_notify,postgresql,postgres,mysql,dialect_specific,hard,False,False,,,,transpile_failed
listen_notify,postgresql,postgres,tsql,dialect_specific,hard,False,False,,,,transpile_failed
listen_notify,postgresql,postgres,oracle,dialect_specific,hard,False,False,,,,transpile_failed
listen_notify,postgresql,postgres,snowflake,dialect_specific,hard,False,False,,,,transpile_failed
uuid_generation,postgresql,postgres,postgres,dialect_specific,hard,True,True,True,True,,
