query,src_folder,src_dialect,tgt_dialect,level_x,complexity,difficulty,parse_ok,transpile_ok,ast_equiv,latency_ms,error,name,level_y,cte,window,pivot,array,lateral,json,ddl,dml_nonsel,subquery,union,groupby,having,case,recursive,dialect_specific
alter_table_add_column,postgresql,postgres,oracle,basic,15,easy,True,True,True,0.258,,alter_table_add_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
alter_table_add_column,postgresql,postgres,snowflake,basic,15,easy,True,True,True,0.534,,alter_table_add_column,basic,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
subquery_in,postgresql,postgres,postgres,intermediate,35,medium,True,True,True,0.907,,subquery_in,intermediate,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
subquery_in,postgresql,postgres,mysql,intermediate,35,medium,True,True,True,0.534,,subquery_in,intermediate,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
subquery_in,postgresql,postgres,tsql,intermediate,35,medium,True,True,True,0.563,,subquery_in,intermediate,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
subquery_in,postgresql,postgres,oracle,intermediate,35,medium,True,True,True,0.501,,subquery_in,intermediate,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
subquery_in,postgresql,postgres,snowflake,intermediate,35,medium,True,True,True,0.76,,subquery_in,intermediate,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
cte_basic,postgresql,postgres,postgres,intermediate,50,medium,True,True,True,1.769,,cte_basic,intermediate,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
cte_basic,postgresql,postgres,mysql,intermediate,50,medium,True,True,True,1.079,,cte_basic,intermediate,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
cte_basic,postgresql,postgres,tsql,intermediate,50,medium,True,True,False,3.511,,cte_basic,intermediate,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
cte_basic,postgresql,postgres,oracle,intermediate,50,medium,True,True,True,1.126,,cte_basic,intermediate,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
cte_basic,postgresql,postgres,snowflake,intermediate,50,medium,True,True,True,1.485,,cte_basic,intermediate,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
window_function_rank,postgresql,postgres,postgres,intermediate,45,medium,True,True,True,0.948,,window_function_rank,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
window_function_rank,postgresql,postgres,mysql,intermediate,45,medium,True,True,False,0.722,,window_function_rank,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
window_function_rank,postgresql,postgres,tsql,intermediate,45,medium,True,True,False,0.721,,window_function_rank,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
window_function_rank,postgresql,postgres,oracle,intermediate,45,medium,True,True,True,0.602,,window_function_rank,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
window_function_rank,postgresql,postgres,snowflake,intermediate,45,medium,True,True,True,0.717,,window_function_rank,intermediate,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
